trade_id,strategy,underlying,entry_date,expiry_date,spot_entry,spot_settle,atm_strike,lot_size,margin_required,net_credit_pts,max_loss_pts,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_stamp,slippage,total_costs,net_pnl,exit_reason,is_winner,contracts_json,year,year_month
OTM_STRANGLE_2026-04-08_2026-04-13,OTM_STRANGLE,NIFTY,2026-04-08,2026-04-13,23997.35,23842.65,24000.0,65,130000.0,415.9,1039.75,23305.75,80.0,27.03,15.38,17.17,0.14,130.0,269.73,23036.02,EXPIRY,True,"['short_ce:24100.0CE@115.85->0.0', 'short_pe:23900.0PE@300.05->57.349999999998545']",2026,2026-04
OTM_STRANGLE_2026-04-15_2026-04-21,OTM_STRANGLE,NIFTY,2026-04-15,2026-04-21,24231.3,24576.6,24250.0,65,130000.0,411.0,1027.5,11986.0,80.0,26.72,20.72,18.14,0.48,130.0,276.06,11709.94,EXPIRY,True,"['short_ce:24350.0CE@160.0->226.59999999999854', 'short_pe:24150.0PE@251.0->0.0']",2026,2026-04
OTM_STRANGLE_2026-04-22_2026-04-28,OTM_STRANGLE,NIFTY,2026-04-22,2026-04-28,24378.1,23995.7,24400.0,65,130000.0,421.9,1054.75,7644.0,80.0,27.42,23.6,18.66,0.64,130.0,280.32,7363.68,EXPIRY,True,"['short_ce:24500.0CE@261.9->0.0', 'short_pe:24300.0PE@160.0->304.2999999999993']",2026,2026-04
OTM_STRANGLE_2026-04-29_2026-05-05,OTM_STRANGLE,NIFTY,2026-04-29,2026-05-05,24177.65,24032.8,24200.0,65,130000.0,348.8,872.0,18304.0,80.0,22.67,13.52,16.84,0.16,130.0,263.19,18040.81,EXPIRY,True,"['short_ce:24300.0CE@107.8->0.0', 'short_pe:24100.0PE@241.0->67.20000000000073']",2026,2026-04
OTM_STRANGLE_2026-05-06_2026-05-12,OTM_STRANGLE,NIFTY,2026-05-06,2026-05-12,24330.95,23379.55,24350.0,65,130000.0,298.65,746.62,-37167.0,80.0,19.41,38.0,21.25,1.77,130.0,290.43,-37457.43,EXPIRY,False,"['short_ce:24450.0CE@72.25->0.0', 'short_pe:24250.0PE@226.4->870.4500000000007']",2026,2026-05
OTM_STRANGLE_2026-05-13_2026-05-19,OTM_STRANGLE,NIFTY,2026-05-13,2026-05-19,23412.6,23618.0,23400.0,65,130000.0,363.1,907.75,15931.5,80.0,23.6,15.64,17.22,0.26,130.0,266.72,15664.78,EXPIRY,True,"['short_ce:23500.0CE@219.9->118.0', 'short_pe:23300.0PE@143.2->0.0']",2026,2026-05
OTM_STRANGLE_2026-05-20_2026-05-26,OTM_STRANGLE,NIFTY,2026-05-20,2026-05-26,23659.0,23913.7,23650.0,65,130000.0,355.0,887.5,12434.5,80.0,23.07,16.86,17.44,0.35,130.0,267.73,12166.77,EXPIRY,True,"['short_ce:23750.0CE@92.0->163.70000000000073', 'short_pe:23550.0PE@263.0->0.0']",2026,2026-05
OTM_STRANGLE_2026-05-27_2026-06-02,OTM_STRANGLE,NIFTY,2026-05-27,2026-06-02,23907.15,23483.55,23900.0,65,130000.0,269.95,674.88,-3022.5,80.0,17.55,19.06,17.84,0.66,130.0,265.1,-3287.6,EXPIRY,False,"['short_ce:24000.0CE@149.95->0.0', 'short_pe:23800.0PE@120.0->316.4500000000007']",2026,2026-05
OTM_STRANGLE_2026-06-03_2026-06-09,OTM_STRANGLE,NIFTY,2026-06-03,2026-06-09,23405.6,23242.1,23400.0,65,130000.0,257.0,642.5,12941.5,80.0,16.7,10.23,16.25,0.13,130.0,253.32,12688.18,EXPIRY,True,"['short_ce:23500.0CE@190.0->0.0', 'short_pe:23300.0PE@67.0->57.900000000001455']",2026,2026-06
OTM_STRANGLE_2026-06-10_2026-06-16,OTM_STRANGLE,NIFTY,2026-06-10,2026-06-16,23214.95,23989.15,23200.0,65,130000.0,269.05,672.62,-27306.5,80.0,17.49,31.14,20.02,1.41,130.0,280.05,-27586.55,EXPIRY,False,"['short_ce:23300.0CE@172.0->689.1500000000015', 'short_pe:23100.0PE@97.05->0.0']",2026,2026-06
